title,franquicia,genres
Urbania,,"['Romance', 'Drama']"
Uninvited Guest,,"['Drama', 'Thriller']"
The Specials,,"['Action', 'Comedy']"
Under Suspicion,,"['Mystery', 'Thriller']"
Prince of Central Park,,[]
Urban Legends: Final Cut,Urban Legend,['Horror']
Woman on Top,,"['Comedy', 'Drama', 'Romance']"
Dancer in the Dark,Heart of Gold Collection,"['Drama', 'Crime', 'Music']"
Best in Show,,['Comedy']
Beautiful,,['Comedy']
Barenaked in America,,['Documentary']
The Broken Hearts Club: A Romantic Comedy,,"['Comedy', 'Drama', 'Romance']"
Girlfight,,['Drama']
Remember the Titans,,['Drama']
Hellraiser,Hellraiser Collection,['Horror']
Hellbound: Hellraiser II,Hellraiser Collection,"['Horror', 'Thriller']"
Hellraiser III: Hell on Earth,Hellraiser Collection,"['Horror', 'Thriller', 'War']"
"Faraway, So Close!",,"['Drama', 'Fantasy', 'Science Fiction']"
Beach Party,Beach Party Collection,"['Comedy', 'Music']"
Bikini Beach,Beach Party Collection,"['Comedy', 'Music', 'Romance']"
Return of the Fly,The Fly (1958 series),"['Drama', 'Horror', 'Science Fiction']"
Pajama Party,Beach Party Collection,"['Comedy', 'Romance']"
Stranger Than Paradise,,"['Comedy', 'Drama']"
Voyage to the Bottom of the Sea,,"['Adventure', 'Drama', 'Science Fiction']"
Fantastic Voyage,,"['Adventure', 'Science Fiction']"
Abbott and Costello Meet Frankenstein,,"['Comedy', 'Horror']"
The Bank Dick,,['Comedy']
Creature from the Black Lagoon,Creature From The Black Lagoon (Universal Series),"['Adventure', 'Horror', 'Science Fiction']"
The Giant Gila Monster,,"['Horror', 'Science Fiction']"
The Invisible Man,The Invisible Man (Universal Series),"['Horror', 'Science Fiction']"
The Killer Shrews,,"['Horror', 'Science Fiction']"
Kronos,,['Science Fiction']
Phantom of the Opera,,"['Music', 'Horror', 'Romance']"
Runaway,,"['Thriller', 'Crime', 'Science Fiction']"
The Slumber Party Massacre,The Slumber Party Massacre Collection,"['Comedy', 'Horror']"
Slumber Party Massacre II,The Slumber Party Massacre Collection,"['Horror', 'Comedy']"
Slumber Party Massacre III,The Slumber Party Massacre Collection,"['Horror', 'Comedy']"
Sorority House Massacre,The Sorority House Massacre Collection,['Horror']
Sorority House Massacre II,The Sorority House Massacre Collection,"['Comedy', 'Horror', 'Thriller']"
Bamboozled,,"['Comedy', 'Drama']"
Bootmen,,"['Comedy', 'Drama', 'Music']"
Digimon: The Movie,Digimon Collection,"['Fantasy', 'Animation', 'Science Fiction', 'Family']"
Get Carter,,"['Action', 'Drama', 'Thriller', 'Crime']"
Get Carter,,"['Crime', 'Thriller']"
Meet the Parents,Meet the Parents Collection,"['Comedy', 'Romance']"
Requiem for a Dream,,"['Crime', 'Drama']"
Tigerland,,"['Drama', 'War']"
Two Family House,,"['Drama', 'Romance']"
The Contender,,"['Drama', 'Thriller']"
Dr. T and the Women,,"['Comedy', 'Drama', 'Romance']"
Just Looking,,"['Drama', 'Comedy']"
The Ladies Man,,['Comedy']
Lost Souls,,"['Horror', 'Thriller']"
Billy Jack,Billy Jack Collection,"['Action', 'Adventure', 'Drama']"
Billy Jack Goes to Washington,Billy Jack Collection,['Drama']
The Time Machine,,"['Thriller', 'Adventure', 'Fantasy', 'Science Fiction', 'Romance']"
Haunted,,"['Mystery', 'Horror']"
Ghoulies,Ghoulies Collection,"['Comedy', 'Horror', 'Fantasy']"
Ghoulies II,Ghoulies Collection,"['Comedy', 'Horror']"
The Unsinkable Molly Brown,,"['Comedy', 'Music']"
The Adventures of Ichabod and Mr. Toad,,"['Horror', 'Fantasy', 'Animation', 'Family']"
The Strange Love of Martha Ivers,,['Drama']
Detour,,"['Crime', 'Drama']"
Billy Elliot,,"['Drama', 'Comedy', 'Music']"
Bedazzled,,"['Fantasy', 'Comedy', 'Romance']"
Pay It Forward,,"['Drama', 'Romance']"
The Beyond,,['Horror']
The Private Eyes,,"['Comedy', 'Crime', 'Thriller', 'Mystery', 'Horror']"
The Legend of Drunken Master,Drunken Master Collection,"['Action', 'Comedy']"
Book of Shadows: Blair Witch 2,Blair Witch Collection,"['Mystery', 'Thriller', 'Horror']"
The Little Vampire,,"['Family', 'Horror']"
Lucky Numbers,,"['Action', 'Adventure', 'Comedy', 'Crime', 'Romance', 'Thriller']"
Stardom,,"['Comedy', 'Drama']"
Charlie's Angels,Charlie's Angels Collection,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']"
The Legend of Bagger Vance,,"['Fantasy', 'Drama']"
Little Nicky,,"['Comedy', 'Fantasy', 'Romance']"
Men of Honor,,['Drama']
Red Planet,,"['Thriller', 'Action', 'Science Fiction']"
What's Cooking?,,"['Comedy', 'Drama']"
You Can Count on Me,,"['Drama', 'Romance']"
Diamonds Are Forever,James Bond Collection,"['Adventure', 'Action', 'Thriller']"
The Eagle Has Landed,,"['Adventure', 'Drama', 'Action', 'Thriller', 'War']"
The 6th Day,,['Science Fiction']
Bounce,,"['Drama', 'Romance']"
How the Grinch Stole Christmas,,"['Family', 'Comedy', 'Fantasy']"
One Day in September,,['Documentary']
Rugrats in Paris: The Movie,Rugrats Collection,"['Adventure', 'Animation', 'Comedy', 'Family']"
102 Dalmatians,101 Dalmatians (Live-Action) Collection,"['Comedy', 'Family']"
Malena,,['Drama']
Quills,,['Drama']
Unbreakable,,"['Science Fiction', 'Thriller', 'Drama']"
Boys Life 3,,[]
"Crouching Tiger, Hidden Dragon","Crouching Tiger, Hidden Dragon Collection","['Adventure', 'Drama', 'Action', 'Romance']"
Dungeons & Dragons,Dungeons & Dragons Collection,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
Proof of Life,,"['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']"
Vertical Limit,,"['Action', 'Adventure', 'Thriller']"
The Bounty,,"['Action', 'Drama', 'History']"
Code of Silence,,"['Action', 'Thriller', 'Crime', 'Drama']"
"Planes, Trains and Automobiles",,['Comedy']
She's Having a Baby,,"['Comedy', 'Drama', 'Romance']"
Secrets of the Heart,,['Drama']
The Living Daylights,James Bond Collection,"['Action', 'Adventure', 'Thriller']"
The Transformers: The Movie,,['Animation']
Wall Street,Wall Street Collection,"['Crime', 'Drama']"
Born on the Fourth of July,,"['Drama', 'War']"
Talk Radio,,['Drama']
Brewster's Millions,,['Comedy']
Snatch,,"['Thriller', 'Crime']"
Punchline,,"['Comedy', 'Drama']"
Mr Accident,,"['Comedy', 'Foreign']"
Chocolat,,"['Comedy', 'Drama', 'Romance']"
"Dude, Where’s My Car?",,['Comedy']
The Emperor's New Groove,The Emperor's New Groove Collection,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Pollock,,"['Drama', 'Romance']"
What Women Want,,"['Comedy', 'Romance']"
Finding Forrester,,['Drama']
The Gift,,"['Horror', 'Drama', 'Thriller', 'Mystery']"
Before Night Falls,,['Drama']
Cast Away,,"['Adventure', 'Drama']"
The Family Man,,"['Comedy', 'Drama', 'Romance', 'Fantasy']"
The House of Mirth,,"['Drama', 'Romance']"
Miss Congeniality,Miss Congeniality Collection,"['Comedy', 'Crime', 'Action']"
Nowhere to Hide,,"['Action', 'Comedy', 'Crime']"
"O Brother, Where Art Thou?",,"['Action', 'Adventure', 'Comedy']"
Songcatcher,,"['Drama', 'Music']"
State and Main,,"['Comedy', 'Drama']"
Dracula 2000,Dracula 2000 Collection,"['Thriller', 'Horror']"
All the Pretty Horses,,"['Drama', 'Romance', 'Western']"
An Everlasting Piece,,"['Comedy', 'Crime']"
Thirteen Days,,"['Drama', 'Thriller']"
Traffic,,"['Thriller', 'Drama', 'Crime']"
The Claim,,"['Drama', 'Romance', 'Western']"
Shadow of the Vampire,,"['Drama', 'Horror']"
House of Games,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Kill Me Again,,"['Drama', 'Action', 'Thriller', 'Crime']"
Annie,Annie Collection,"['Comedy', 'Drama', 'Family', 'Music']"
Don't Tell Mom the Babysitter's Dead,,"['Comedy', 'Family']"
An Officer and a Gentleman,,"['Drama', 'Romance']"
The Alamo,,"['Action', 'Adventure', 'Drama', 'History', 'Western']"
At Close Range,,"['Crime', 'Drama']"
Breaker! Breaker!,,"['Action', 'Adventure', 'Crime', 'Thriller']"
Breakheart Pass,,"['Thriller', 'Western', 'Mystery']"
Friendly Persuasion,,"['Drama', 'War', 'Western']"
Gettysburg,,"['War', 'Drama', 'History']"
Imaginary Crimes,,['Drama']
Rancho Deluxe,,"['Action', 'Comedy', 'Western']"
The St  Francisville Experiment,,"['Horror', 'Thriller']"
Antitrust,,"['Action', 'Crime', 'Drama']"
Double Take,,"['Adventure', 'Drama', 'Action', 'Comedy', 'Romance']"
Save the Last Dance,Save The Last Dance Collection,"['Drama', 'Family', 'Romance', 'Music']"
Panic,,"['Comedy', 'Crime', 'Drama']"
The Pledge,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Kids World,,[]
The Personals,,"['Drama', 'Comedy', 'Romance', 'Foreign']"
The Amati Girls,,['Drama']
Love Field,,"['Drama', 'Romance']"
The Man in the Moon,,"['Drama', 'Family', 'Romance']"
Mystic Pizza,,"['Comedy', 'Drama', 'Romance']"
Prelude to a Kiss,,"['Drama', 'Comedy', 'Romance']"
Coffy,,"['Thriller', 'Action', 'Adventure', 'Drama', 'Crime']"
Foxy Brown,,"['Thriller', 'Action', 'Crime']"
I'm Gonna Git You Sucka,,"['Action', 'Comedy']"
Untamed Heart,,"['Comedy', 'Drama', 'Romance']"
Sugar & Spice,,"['Crime', 'Comedy']"
The Wedding Planner,,['Comedy']
Amy,,"['Comedy', 'Drama']"
Dog Run,,[]
Faithless,,"['Drama', 'Romance']"
The Invisible Circus,,['Drama']
The Legend of Rita,,"['Drama', 'Foreign']"
A Monkey's Tale,,"['Adventure', 'Animation', 'Family']"
Two Ninas,,"['Comedy', 'Romance']"
"Harry, He's Here To Help",,['Comedy']
Amazing Grace and Chuck,,['Drama']
Amazon Women on the Moon,,"['Comedy', 'Science Fiction']"
Baby Boom,,"['Comedy', 'Romance', 'Family']"
Back to the Beach,,"['Comedy', 'Music']"
Barfly,,"['Comedy', 'Drama', 'Romance']"
Best Seller,,"['Action', 'Crime', 'Drama', 'Thriller']"
Beverly Hills Cop II,Beverly Hills Cop Collection,"['Action', 'Comedy', 'Crime']"
Beverly Hills Cop,Beverly Hills Cop Collection,"['Action', 'Comedy', 'Crime']"
The Big Easy,,"['Drama', 'Action', 'Crime', 'Mystery']"
Big Shots,,"['Action', 'Adventure', 'Comedy']"
The Big Town,,"['Drama', 'Romance']"
Born in East L.A.,,['Comedy']
The Brave Little Toaster,The Brave Little Toaster Collection,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family', 'Music']"
Can't Buy Me Love,,"['Drama', 'Comedy', 'Romance', 'Family']"
Cherry 2000,,['Science Fiction']
Cop,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
Critical Condition,,['Comedy']
Cry Freedom,,['Drama']
Curse,,['Horror']
Dead of Winter,,"['Horror', 'Thriller', 'Crime', 'Mystery']"
The Dead,,['Drama']
Death Before Dishonor,,"['Drama', 'Action']"
Disorderlies,,['Comedy']
Dogs in Space,,"['Music', 'Drama']"
Eddie Murphy Raw,,['Comedy']
Empire of the Sun,,"['Drama', 'History', 'War']"
Ernest Goes to Camp,Ernest Collection,"['Comedy', 'Family']"
The Evil Dead,Evil Dead Collection,['Horror']
Extreme Prejudice,,"['Action', 'Crime', 'Drama', 'Thriller', 'Western']"
Family Viewing,,['Drama']
Five Corners,,['Drama']
Flowers in the Attic,,"['Drama', 'Horror', 'Mystery', 'Thriller']"
The Fourth Protocol,,"['Action', 'Drama', 'Thriller']"
Gardens of Stone,,"['Drama', 'History']"
Julia and Julia,,"['Drama', 'Fantasy']"
The Glass Menagerie,,['Drama']
"Good Morning, Babylon",,"['Romance', 'Drama']"
Hiding Out,,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Thriller']"
Hollywood Shuffle,,['Comedy']
Hope and Glory,,"['Drama', 'War']"
Hot Pursuit,,['Comedy']
Housekeeping,,"['Comedy', 'Drama']"
Hunk,,"['Fantasy', 'Comedy']"
Innerspace,,"['Action', 'Comedy', 'Science Fiction']"
Ironweed,,['Drama']
Ishtar,,"['Action', 'Adventure', 'Comedy']"
Jaws: The Revenge,The Jaws Collection,"['Adventure', 'Thriller']"
Leonard Part 6,,"['Action', 'Comedy']"
Less Than Zero,,"['Drama', 'Crime', 'Romance']"
Like Father Like Son,,"['Comedy', 'Fantasy']"
The Lost Boys,Lost Boys Collection,"['Horror', 'Comedy']"
Made in Heaven,,"['Fantasy', 'Drama', 'Comedy', 'Romance']"
Maid to Order,,"['Comedy', 'Fantasy']"
Making Mr. Right,,"['Comedy', 'Romance']"
Mannequin,Mannequin Collection,"['Fantasy', 'Comedy', 'Romance']"
Masters of the Universe,,"['Action', 'Fantasy', 'Science Fiction', 'Adventure', 'Thriller']"
Million Dollar Mystery,,"['Comedy', 'Thriller']"
The Monster Squad,,"['Horror', 'Comedy', 'Action', 'Fantasy', 'Science Fiction']"
A Month in the Country,,"['History', 'Drama']"
Morgan Stewart's Coming Home,,['Comedy']
My Demon Lover,,"['Comedy', 'Fantasy', 'Horror', 'Romance']"
No Man's Land,,"['Action', 'Drama', 'Thriller']"
North Shore,,"['Action', 'Drama', 'Romance']"
Head Over Heels,,"['Comedy', 'Romance']"
Left Behind,Left Behind Collection,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']"
Valentine,,"['Horror', 'Thriller']"
In the Mood for Love,Wong Kar-Wai's Informal Collection,"['Drama', 'Romance']"
Fever,,"['Drama', 'Thriller']"
The Million Dollar Hotel,,"['Drama', 'Thriller']"
Nico and Dani,,"['Drama', 'Comedy', 'Romance']"
Hannibal,The Hannibal Lecter Anthology,"['Crime', 'Drama', 'Thriller', 'Horror']"
Saving Silverman,,"['Comedy', 'Crime', 'Romance']"
Signs & Wonders,,"['Drama', 'Foreign']"
The Taste of Others,,"['Drama', 'Comedy', 'Romance']"
Vatel,,"['History', 'Drama', 'Romance']"
Down to Earth,,"['Fantasy', 'Comedy', 'Science Fiction', 'Romance']"
Recess: School's Out,Disneys Große Pause,"['Science Fiction', 'Animation', 'Comedy', 'Family']"
Sweet November,,"['Drama', 'Romance']"
Company Man,,['Comedy']
The Price of Milk,,"['Comedy', 'Drama', 'Foreign', 'Romance']"
Monkeybone,,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Comedy']"
3000 Miles to Graceland,,"['Action', 'Adventure', 'Comedy', 'Thriller', 'Crime']"
The Widow of Saint-Pierre,,"['Romance', 'Drama']"
The Mexican,,"['Action', 'Comedy', 'Crime', 'Romance']"
See Spot Run,,"['Action', 'Comedy', 'Family']"
Carman: The Champion,,"['Drama', 'Action']"
The Caveman's Valentine,,"['Drama', 'Mystery', 'Thriller']"
"Me, You, Them",,"['Comedy', 'Drama', 'Romance']"
Series 7: The Contenders,,"['Action', 'Comedy', 'Thriller']"
15 Minutes,,"['Action', 'Crime', 'Thriller']"
Get Over It,,"['Comedy', 'Romance']"
Blow Dry,,"['Comedy', 'Drama']"
Hit and Runway,,[]
Long Night's Journey Into Day,,['Documentary']
Simon Magus,,[]
When Brendan Met Trudy,,[]
Avalon,,['Drama']
Gray's Anatomy,,"['Comedy', 'Drama']"
Madadayo,,['Drama']
The Mirror Crack'd,,"['Crime', 'Thriller', 'Mystery']"
Of Mice and Men,,['Drama']
Pixote,,"['Crime', 'Drama']"
Reform School Girls,,"['Action', 'Comedy', 'Crime']"
Tapeheads,,"['Comedy', 'Drama']"
Tuff Turf,,"['Drama', 'Action', 'Romance']"
The Unbelievable Truth,,"['Comedy', 'Drama', 'Romance']"
The Bishop's Wife,,"['Comedy', 'Drama', 'Fantasy', 'Romance']"
Elvis That's the Way It Is,,"['Music', 'Documentary']"
The Fortune Cookie,,"['Romance', 'Comedy']"
Lilies of the Field,,"['Comedy', 'Drama']"
Hans Christian Andersen,,"['Music', 'Romance', 'Family']"
The Greatest Story Ever Told,,"['Drama', 'History']"
Elmer Gantry,,['Drama']
Alfie,,"['Comedy', 'Drama', 'Romance']"
Demetrius and the Gladiators,Demetrius Filmreihe,"['Action', 'Adventure', 'Drama', 'History']"
The Fantasticks,,"['Comedy', 'Drama', 'Music', 'Romance', 'Science Fiction']"
I Know Where I'm Going!,,"['Drama', 'Romance']"
The Abominable Dr. Phibes,Dr. Phibes Collection,"['Comedy', 'Horror']"
"Die, Monster, Die!",,"['Drama', 'Horror', 'Thriller', 'Science Fiction', 'Foreign']"
Real Life,,['Comedy']
Battle Beyond the Stars,,['Science Fiction']
Death Warrant,,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']"
Double Impact,,"['Thriller', 'Action', 'Crime', 'Drama']"
The End,,['Comedy']
Fuzz,,"['Comedy', 'Crime', 'Drama']"
Harley Davidson and the Marlboro Man,,"['Action', 'Thriller']"
Losin' It,,['Comedy']
Mermaids,,"['Comedy', 'Drama', 'Romance']"
The Mighty Quinn,,"['Action', 'Comedy', 'Mystery', 'Thriller']"
Unmade Beds,,['Comedy']
Rated X,,['Drama']
Manhunter,The Hannibal Lecter Anthology,"['Crime', 'Horror', 'Thriller']"
Reversal of Fortune,,['Drama']
Death on the Nile,,['Mystery']
DeepStar Six,,"['Action', 'Horror', 'Thriller', 'Science Fiction']"
Revenge of the Nerds,Revenge of the Nerds Collection,['Comedy']
Revenge of the Nerds II: Nerds in Paradise,Revenge of the Nerds Collection,['Comedy']
Longtime Companion,,['Drama']
4 Little Girls,,['Documentary']
River's Edge,,"['Crime', 'Drama']"
Girls Just Want to Have Fun,,"['Comedy', 'Family', 'Music', 'Romance']"
The Longest Yard,,"['Crime', 'Comedy', 'Drama']"
Necessary Roughness,,['Comedy']
C.H.U.D.,C.H.U.D. Collection,"['Horror', 'Science Fiction']"
Enemy at the Gates,,['War']
Exit Wounds,,"['Action', 'Crime', 'Thriller']"
The Dish,,"['History', 'Comedy', 'Drama']"
Memento,,"['Mystery', 'Thriller']"
The Brothers,,"['Comedy', 'Drama', 'Romance']"
Heartbreakers,,"['Crime', 'Comedy', 'Romance']"
Say It Isn't So,,"['Comedy', 'Romance']"
Too Much Sleep,,[]
Someone Like You...,,"['Comedy', 'Romance']"
Spy Kids,Spy Kids Collection,"['Action', 'Comedy', 'Family', 'Adventure']"
Tomcats,,"['Comedy', 'Romance']"
The Tailor of Panama,,"['Drama', 'Thriller']"
Amores perros,,"['Drama', 'Thriller']"
Keep the River on Your Right: A Modern Cannibal Tale,,['Documentary']
The Gleaners & I,,"['Documentary', 'Foreign']"
Along Came a Spider,Alex Cross Collection,"['Crime', 'Mystery', 'Thriller', 'Action']"
Blow,,"['Crime', 'Drama']"
Just Visiting,The Visitors Collection,"['Comedy', 'Fantasy', 'Science Fiction']"
Pokémon: Spell of the Unknown,Pokémon Collection,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']"
Beautiful Creatures,,"['Comedy', 'Crime', 'Drama', 'Thriller']"
Brigham City,,"['Crime', 'Drama', 'Mystery', 'Thriller']"
The Day I Became a Woman,,"['Drama', 'Foreign']"
Shadow Magic,,"['Drama', 'Foreign', 'History']"
Bridget Jones's Diary,Bridget Jones Collection,"['Comedy', 'Romance', 'Drama']"
Joe Dirt,Joe Dirt Collection,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']"
Josie and the Pussycats,,"['Comedy', 'Music']"
Kingdom Come,,['Comedy']
The Body,,"['Drama', 'Mystery', 'Romance', 'Thriller']"
Chopper,,"['Crime', 'Drama', 'Thriller']"
The Circle,,"['Drama', 'Foreign']"
Lakeboat,,[]
Crocodile Dundee in Los Angeles,Crocodile Dundee Collection,"['Adventure', 'Comedy']"
Freddy Got Fingered,,['Comedy']
The Center of the World,,"['Drama', 'Romance']"
The Girl,,"['Drama', 'Thriller', 'Romance']"
The Low Down,,"['Romance', 'Comedy', 'Drama']"
The Luzhin Defence,,"['Romance', 'Drama']"
The Visit,,['Drama']
Lilies,,"['Drama', 'Fantasy', 'Romance']"
Scarface,,"['Action', 'Crime', 'Drama', 'Thriller']"
Days of Wine and Roses,,"['Drama', 'Romance']"
Driven,,['Action']
The Forsaken,,"['Action', 'Adventure', 'Horror', 'Thriller']"
One Night at McCool's,,"['Action', 'Comedy', 'Crime']"
Town & Country,,"['Comedy', 'Romance']"
Rat,,"['Drama', 'Fantasy', 'Comedy', 'Family']"
The Mummy Returns,The Mummy Collection,"['Adventure', 'Action', 'Fantasy']"
Eureka,,['Drama']
Tuvalu,,"['Fantasy', 'Drama', 'Comedy', 'Science Fiction', 'Romance', 'Family', 'Foreign']"
Under the Sand,,"['Drama', 'Mystery']"
Cleopatra,,"['Drama', 'History', 'Romance']"
Krull,,"['Fantasy', 'Action', 'Adventure']"
Lost in America,,['Comedy']
The Lost World,,"['Adventure', 'Drama', 'Fantasy', 'Science Fiction']"
Triumph of the Will,,['Documentary']
True Believer,,"['Crime', 'Drama']"
The World According to Garp,,['Comedy']
Candy,,"['Fantasy', 'Comedy', 'Adventure']"
Fellini Satyricon,,"['Drama', 'Fantasy']"
Roma,,"['Comedy', 'Drama']"
Frankie and Johnny,,"['Comedy', 'Drama', 'Music', 'Romance']"
Frankie and Johnny,,"['Drama', 'Comedy', 'Romance']"
A Home of Our Own,,"['Comedy', 'Drama']"
Paris When It Sizzles,,"['Comedy', 'Romance']"
Pola X,,"['Drama', 'Romance']"
City of Women,,"['Comedy', 'Drama']"
For the Boys,,"['Music', 'Drama']"
Nine to Five,,['Comedy']
Norma Rae,,['Drama']
Summer Rental,,['Comedy']
"The 5,000 Fingers of Dr. T.",,"['Family', 'Fantasy', 'Music']"
Catchfire,,"['Drama', 'Action', 'Thriller', 'Romance']"
Love Story,,"['Drama', 'Romance']"
Pelle the Conqueror,,['Drama']
Rififi,,"['Drama', 'Action', 'Crime']"
A Knight's Tale,,"['Adventure', 'Drama', 'Romance', 'Action']"
Bread and Roses,,"['Comedy', 'Drama']"
Calle 54,,"['Documentary', 'Music', 'Foreign']"
The King Is Alive,,['Drama']
Sordid Lives,,['Comedy']
Startup.com,,['Documentary']
Angel Eyes,,"['Drama', 'Romance', 'Thriller']"
Shrek,Shrek Collection,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']"
Fast Food Fast Women,,"['Comedy', 'Romance']"
Moulin Rouge!,,"['Drama', 'Music', 'Romance']"
Little Brothers,,"['Drama', 'Foreign']"
Pearl Harbor,,"['History', 'Romance', 'War']"
Bloody Angels,,"['Thriller', 'Drama']"
Himalaya,,"['Adventure', 'Drama']"
The Man Who Cried,,"['Drama', 'Music', 'Romance', 'War']"
Our Song,,['Drama']
Gabriela,,[]
Ice Castles,,"['Drama', 'Romance']"
Love Potion No. 9,,"['Comedy', 'Romance']"
Postcards from the Edge,,"['Comedy', 'Drama']"
Apache,,"['Action', 'Western']"
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",,"['Western', 'Comedy']"
City Slickers,City Slickers Collection,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']"
Eight Men Out,,"['Drama', 'History']"
The Horse Soldiers,,"['War', 'Western']"
The Kentuckian,,"['Action', 'Western']"
La Notte,Alienation Trilogy,['Drama']
Mississippi Burning,,"['Thriller', 'Crime', 'Drama']"
The Magnificent Seven,The Magnificent Seven Collection,['Western']
Return of the Seven,The Magnificent Seven Collection,['Western']
Rio Bravo,,['Western']
The Scarlet Empress,,"['Drama', 'History', 'Romance']"
Semi-Tough,,"['Comedy', 'Drama', 'Romance']"
Suspect,,"['Crime', 'Drama', 'Thriller']"
Throw Momma from the Train,,"['Crime', 'Comedy']"
Yi Yi,,"['Drama', 'Romance']"
Midnight Madness,,"['Comedy', 'Family']"
Nightwatch,,"['Horror', 'Thriller']"
The Sand Pebbles,,"['Action', 'Adventure', 'Drama', 'War', 'Romance']"
Twelve O'Clock High,,"['War', 'Action', 'Drama']"
Von Ryan's Express,,"['Action', 'Drama', 'History', 'Thriller', 'War']"
The Animal,,"['Action', 'Comedy']"
What's the Worst That Could Happen?,,"['Action', 'Comedy']"
Big Eden,,"['Drama', 'Romance']"
Evolution,,"['Action', 'Comedy', 'Science Fiction']"
Swordfish,,"['Action', 'Crime', 'Thriller']"
The Anniversary Party,,"['Comedy', 'Drama']"
Bride of the Wind,,"['Romance', 'Drama', 'Music']"
Divided We Fall,,"['Comedy', 'Drama', 'Family', 'War']"
Whatever Happened to Harold Smith?,,['Comedy']
Catch-22,,"['War', 'Comedy', 'Drama']"
Forgotten Silver,,['Comedy']
Point Break,,"['Action', 'Thriller', 'Crime']"
Shag,,"['Comedy', 'Drama']"
Uncommon Valor,,"['Action', 'Adventure', 'Drama', 'Thriller']"
Unlawful Entry,,"['Crime', 'Thriller']"
Youngblood,,"['Drama', 'Romance']"
Gentlemen Prefer Blondes,,"['Comedy', 'Romance']"
How to Marry a Millionaire,,"['Comedy', 'Romance']"
Macabre,,"['Horror', 'Thriller']"
The Seven Year Itch,,"['Comedy', 'Drama', 'Romance']"
There's No Business Like Show Business,,"['Comedy', 'Drama', 'Music', 'Romance']"
Tootsie,,"['Comedy', 'Romance']"
The Boys Next Door,,"['Action', 'Crime', 'Drama', 'Thriller']"
Too Late the Hero,,"['Drama', 'Action', 'War']"
The Trio,,[]
Pavilion of Women,,"['War', 'Drama', 'Romance', 'Foreign']"
Atlantis: The Lost Empire,Atlantis Collection,"['Animation', 'Family', 'Adventure', 'Science Fiction']"
Lara Croft: Tomb Raider,Tomb Raider Collection,"['Adventure', 'Fantasy', 'Action', 'Thriller']"
Dr. Dolittle 2,Dr. Dolittle Collection,"['Comedy', 'Family', 'Romance', 'Fantasy']"
The Fast and the Furious,The Fast and the Furious Collection,"['Action', 'Crime', 'Thriller']"
A.I. Artificial Intelligence,,"['Drama', 'Science Fiction', 'Adventure']"
Baby Boy,,"['Crime', 'Drama', 'Romance']"
Crazy/Beautiful,,"['Drama', 'Romance']"
Pootie Tang,,"['Action', 'Comedy']"
Snow days,,"['Comedy', 'Romance']"
Funny Felix,,"['Comedy', 'Foreign']"
Down from the Mountain,,"['Music', 'Documentary']"
Russian Doll,,"['Romance', 'Comedy', 'Drama']"
Sexy Beast,,"['Crime', 'Drama', 'Thriller']"
"South of Heaven, West of Hell",,"['Action', 'Comedy', 'Drama', 'Western']"
The Princess and the Warrior,,"['Romance', 'Drama']"
The Closet,,['Comedy']
Wolves,,['Documentary']
The Crimson Rivers,The Crimson Rivers Collection,"['Crime', 'Mystery', 'Thriller']"
Lumumba,,"['Drama', 'Foreign', 'History']"
Pandaemonium,,"['Drama', 'Foreign']"
Cats & Dogs,Cats & Dogs Collection,"['Comedy', 'Family']"
Kiss of the Dragon,,"['Action', 'Crime', 'Thriller']"
Scary Movie 2,Scary Movie Collection,['Comedy']
Lost and Delirious,,"['Drama', 'Romance']"
Baise-moi,,"['Crime', 'Drama', 'Romance', 'Thriller']"
The Vertical Ray of the Sun,,"['Drama', 'Foreign', 'Romance']"
Alice,,"['Comedy', 'Drama', 'Romance']"
Another Woman,,['Drama']
Beach Blanket Bingo,Beach Party Collection,['Comedy']
Big Deal on Madonna Street,Totò Collection,"['Crime', 'Comedy']"
The Cannonball Run,Cannonball Run Collection,['Comedy']
Cannonball Run II,Cannonball Run Collection,"['Action', 'Comedy']"
Speed Zone,Cannonball Run Collection,"['Action', 'Comedy']"
Diary of a Chambermaid,,"['Crime', 'Drama']"
Donovan's Brain,,"['Drama', 'Horror', 'Science Fiction']"
Donovan's Reef,,"['Adventure', 'Comedy', 'Romance']"
Dr. Goldfoot and the Bikini Machine,Dr Goldfoot Collection,"['Comedy', 'Science Fiction']"
House of Usher,,"['Horror', 'Thriller']"
